# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
12692	40.7618	55.1060	5.76
12706	40.8252	3.2358	3.47
12719	40.8630	27.7071	4.65
12768	41.0215	44.2970	5.43
12770	41.0306	-13.8587	4.24
12777	41.0499	49.2284	4.1
12803	41.1374	15.3119	5.78
12821	41.2071	67.8246	5.95
12828	41.2356	10.1141	4.27
12832	41.2399	12.4458	5.17
12843	41.2758	-18.5726	4.47
12871	41.3645	-63.7046	5.73
12876	41.3860	-67.6166	4.83
13055	41.9488	81.4485	5.8
13061	41.9773	29.2471	4.52
13108	42.1337	18.2838	5.83
13121	42.1913	25.1881	5.89
13141	42.2562	-62.8065	5.25
13147	42.2726	-32.4059	4.45
13165	42.3232	17.4643	5.26
13202	42.4758	-27.9420	5.39
13209	42.4960	27.2605	3.61
13225	42.5616	-35.8436	5.92
13244	42.6186	-75.0669	4.76
13254	42.6461	38.3186	4.22
13265	42.6684	-35.6758	5.48
13268	42.6742	55.8955	3.77
13288	42.7597	-21.0040	4.76
13327	42.8733	15.0821	5.52
13328	42.8785	35.0597	4.56
13339	42.9239	46.8419	5.86
13367	42.9948	68.8885	5.94
13473	43.3933	-38.4370	5.93
13479	43.3972	-22.3763	5.93
13490	43.4276	38.3375	5.34
13531	43.5644	52.7625	3.93
13654	43.9521	18.3316	5.76
13665	43.9872	61.5211	5.59
13679	44.0574	8.3816	5.97
13701	44.1069	-8.8981	3.89
13702	44.1090	18.0231	5.58
13717	44.1559	-3.7123	5.16
13775	44.3220	31.9342	5.1
13782	44.3490	-23.8622	5.44
13834	44.5218	20.6687	5.8
13835	44.5239	-23.6060	5.82
13847	44.5653	-40.3047	2.88
13874	44.6753	-2.7829	5.22
13879	44.6903	39.6627	4.68
13884	44.6992	-64.0713	4.98
13905	44.7653	35.1831	4.94
13914	44.8030	21.3404	4.63
13942	44.9008	-25.2741	5.69
13949	44.9162	41.0329	5.89
13951	44.9215	-2.4650	5.56
13954	44.9288	8.9074	4.71
13965	44.9575	47.2207	5.47
14036	45.1839	10.8704	5.93
14043	45.2176	52.3517	5.24
14060	45.2918	-7.6630	5.75
14086	45.4068	-28.0916	5.88
14109	45.4756	26.4624	5.91
14110	45.4838	-9.9614	5.84
14131	45.5644	-71.9025	5.51
14135	45.5699	4.0897	2.54
14143	45.5938	4.3529	5.62
14146	45.5979	-23.6245	4.08
14168	45.6761	-7.6855	5.32
14187	45.7328	-46.9750	5.81
14240	45.9034	-59.7378	5.12
14293	46.0688	-7.6009	5.26
14328	46.1991	53.5064	2.91
14354	46.2941	38.8403	3.32
14376	46.3612	25.2552	5.45
14382	46.3850	56.7057	4.77
14417	46.5327	79.4185	5.49
14439	46.5987	13.1873	5.64
14456	46.6396	-6.0886	5.23
14502	46.8292	64.0576	5.89
14521	46.8839	-78.9892	5.67
14576	47.0422	40.9556	2.09
14632	47.2667	49.6133	4.05
14668	47.3740	44.8575	3.79
14677	47.4031	29.0771	5.74
14764	47.6616	11.8726	5.97
14817	47.8224	39.6116	4.61
14838	47.9074	19.7267	4.35
14844	47.9278	81.4707	5.92
14862	47.9845	74.3937	4.85
14879	48.0189	-28.9876	3.8
14893	48.0594	27.2570	5.78
14913	48.1073	-44.4197	5.92
14915	48.1099	6.6609	5.55
14930	48.1382	-57.3215	5.71
